cv_index,test_acc,loss
0.0,0.5411111111111111,0.7251394348787078
0.0,0.5615555555555556,0.7666062818351367
0.0,0.5771111111111111,0.7917869158670412
0.0,0.5853333333333334,0.7448781874585659
0.0,0.6088888888888889,0.6990794125178181
0.0,0.6122222222222222,0.6934439601204919
0.0,0.6053333333333333,0.6798348092863745
0.0,0.6106666666666667,0.7294138653058533
0.0,0.6222222222222222,0.7171790506822843
0.0,0.628,0.6617001400771716
0.0,0.6308888888888889,0.6820688547817528
0.0,0.6297777777777778,0.6895950020205045
0.0,0.6313333333333333,0.7287009755770365
0.0,0.6404444444444445,0.6407015693525896
0.0,0.638,0.664305586552789
0.0,0.6375555555555555,0.653129851353084
0.0,0.6328888888888888,0.6700215574274672
0.0,0.6344444444444445,0.663471869754453
0.0,0.6395555555555555,0.6969103946330699
0.0,0.6348888888888888,0.6793879147962476
0.0,0.64,0.6528293456591613
0.0,0.6435555555555555,0.6864296728414847
0.0,0.6426666666666667,0.6730730368735942
0.0,0.6393333333333333,0.681928978110036
0.0,0.6291111111111111,0.6766255795955658
0.0,0.6337777777777778,0.6568171747610079
0.0,0.638,0.6748269876689775
0.0,0.6373333333333333,0.7205555037403784
0.0,0.6355555555555555,0.7276988312707725
0.0,0.642,0.6700175227002895
0.0,0.6391111111111111,0.6836538775592831
0.0,0.6346666666666667,0.6791875814715176
0.0,0.6364444444444445,0.6920291411538496
0.0,0.6371111111111111,0.6736356017860115
1.0,0.6017777777777777,0.6679114492227
1.0,0.6482222222222223,0.6146326513155133
1.0,0.6328888888888888,0.6212667055586552
1.0,0.6642222222222223,0.6030483064076579
1.0,0.636,0.6108935314712794
1.0,0.6702222222222223,0.5991447977985896
1.0,0.6511111111111111,0.5992710987726847
1.0,0.6384444444444445,0.6083684252931717
1.0,0.6771111111111111,0.5853121318715684
1.0,0.6733333333333333,0.5827443597587287
1.0,0.6226666666666667,0.619613102987303
1.0,0.6486666666666666,0.5981817321574434
1.0,0.6468888888888888,0.6035332523339184
1.0,0.6626666666666666,0.5942256501380433
1.0,0.6784444444444444,0.5757084328232082
1.0,0.6122222222222222,0.6223762908303145
1.0,0.6148888888888889,0.6336992002548055
1.0,0.6555555555555556,0.5970049153828452
1.0,0.6706666666666666,0.5767368270573041
1.0,0.6511111111111111,0.5919690491459894
1.0,0.6457777777777778,0.6014974977530486
1.0,0.622,0.637054147449791
1.0,0.6568888888888889,0.6022572775259085
1.0,0.6622222222222223,0.592306411858146
1.0,0.6642222222222223,0.5913317446590315
1.0,0.6606666666666666,0.5929117044235798
1.0,0.6486666666666666,0.609806349514224
